,factor_1,factor_2,factor_3
597,29,27,11
598,20,15,10
599,26,25,13
601,22,18,9
604,17,17,9
605,21,24,10
606,29,29,5
607,26,20,10
608,24,23,7
610,22,19,5
611,30,27,17
613,27,30,20
615,19,18,10
620,27,25,8
621,26,22,9
622,27,26,12
623,21,16,10
624,19,17,10
625,25,23,12
627,20,25,7
628,22,24,16
629,27,25,18
630,23,23,14
631,30,30,12
632,23,22,6
633,23,24,9
634,25,25,16
635,25,20,8
637,15,20,10
640,20,22,6
641,23,18,7
645,22,28,9
646,21,18,7
648,27,23,11
649,27,24,7
650,25,22,13
651,25,16,10
653,23,22,22
655,15,16,7
656,23,26,11
658,25,26,5
661,30,26,10
663,24,27,15
664,13,22,5
666,26,28,17
667,22,22,11
668,23,21,10
670,30,30,17
671,30,22,9
672,28,20,11
673,24,27,12
674,24,21,5
675,22,17,5
679,23,17,15
680,25,26,10
681,27,23,5
682,22,17,6
683,26,26,9
684,29,21,12
685,27,25,6
687,19,24,9
688,28,22,7
689,30,27,9
690,24,25,20
695,17,20,5
697,20,21,12
699,26,25,6
700,21,27,6
702,23,23,13
703,25,25,14
704,29,25,5
705,20,23,6
707,19,19,8
708,25,24,12
709,20,13,9
710,23,25,7
712,20,26,10
713,17,17,5
715,28,26,14
716,21,18,7
719,26,25,13
723,26,21,7
727,22,23,7
731,23,23,10
732,19,19,20
733,26,27,13
735,28,23,18
739,25,28,12
740,18,22,6
741,25,25,11
742,22,24,14
745,30,29,7
746,24,25,12
747,24,25,18
748,19,25,10
750,18,22,15
751,24,21,15
752,19,23,8
753,23,26,9
755,25,21,13
756,29,27,14
757,26,26,11
758,27,15,14
759,22,23,8
760,25,20,13
761,24,25,19
762,22,21,10
765,30,28,5
766,30,25,25
767,27,26,23
768,26,15,10
769,23,23,14
770,24,23,11
771,25,24,14
774,23,19,11
776,28,30,15
777,24,15,11
780,29,27,13
781,29,29,5
782,17,13,6
783,22,23,11
784,17,14,11
785,29,27,7
786,26,30,15
787,23,21,14
788,30,26,11
789,26,23,16
793,13,15,5
794,21,19,16
796,21,21,9
797,21,17,6
799,27,30,17
800,19,27,19
802,29,29,5
803,28,26,10
804,27,22,5
805,21,25,7
806,15,25,10
807,23,26,7
808,28,29,12
809,22,25,10
810,20,23,16
811,24,24,17
814,26,27,13
816,18,18,6
817,29,25,8
818,26,23,5
819,27,27,10
820,26,19,14
821,20,19,16
822,22,21,6
823,28,27,9
824,23,30,5
825,28,23,10
826,23,23,9
827,20,19,5
828,24,21,10
829,29,30,10
831,24,21,9
832,26,29,17
833,25,25,10
834,30,23,15
835,20,25,5
836,22,25,12
837,24,27,7
838,24,21,10
839,23,21,5
840,28,17,6
842,21,20,5
844,27,30,17
845,27,25,11
846,27,28,17
847,25,21,13
848,19,17,9
849,28,29,7
850,18,20,7
851,22,23,16
852,29,28,7
855,22,26,7
856,18,19,10
857,26,20,15
859,23,25,6
861,24,19,19
863,22,22,10
864,27,22,21
865,25,24,8
866,29,24,5
867,25,23,15
868,25,21,6
869,24,16,7
870,29,26,15
871,23,20,9
872,22,19,6
874,25,25,14
875,24,24,9
876,26,25,15
879,29,29,6
883,27,27,19
885,23,20,11
886,26,26,11
888,19,10,6
889,17,24,6
890,24,21,12
891,26,22,5
893,22,19,6
894,21,21,16
896,28,28,13
897,21,20,7
900,29,26,8
901,29,28,7
905,24,25,20
906,21,22,8
908,19,16,9
912,24,19,6
914,29,22,10
915,19,25,18
916,24,20,8
918,17,18,15
919,24,22,11
920,27,19,16
933,23,20,10
936,27,24,18
937,26,25,15
939,27,25,8
941,23,21,12
944,25,24,9
945,26,26,14
949,29,30,6
952,30,26,5
956,23,21,9
959,21,23,15
963,25,23,12
964,25,25,12
965,30,28,10
966,25,25,7
967,26,22,9
968,18,21,11
971,30,30,14
975,25,25,17
976,28,23,5
978,21,21,10
979,27,16,5
980,29,22,15
982,28,27,17
983,25,25,5
988,30,25,6
992,29,29,18
993,17,17,5
1000,30,25,14
1001,21,24,10
1003,27,23,6
1007,28,25,10
1010,24,24,6
1011,21,17,6
1023,23,23,15
1024,20,20,16
1026,25,24,13
1028,20,14,13
1034,12,18,5
1036,24,18,12
1038,23,28,9
1040,16,11,5
1047,30,15,10
1048,21,23,14
1050,30,30,5
1051,30,25,5
1058,30,29,11
1060,22,25,8
1067,28,26,6
1072,22,27,18
1075,22,21,6
1078,22,19,9
1079,23,25,7
1085,25,30,6
1087,21,24,12
1088,22,19,9
1096,18,21,10
1097,22,21,11
1100,27,23,7
1102,15,20,7
1103,21,30,9
