age,ethnicity,region,inst,course,course2,semester,sex,gender,hexaco_1,hexaco_2,hexaco_3,hexaco_4,hexaco_5,hexaco_6,hexaco_7,hexaco_8,hexaco_9,hexaco_10,hexaco_11,hexaco_12,hexaco_13,hexaco_14,hexaco_15,hexaco_16,hexaco_17,hexaco_18,hexaco_19,hexaco_20,hexaco_21,hexaco_22,hexaco_23,hexaco_24,hexaco_25,hexaco_26,hexaco_27,hexaco_28,hexaco_29,hexaco_30,hexaco_31,hexaco_32,hexaco_33,hexaco_34,hexaco_35,hexaco_36,hexaco_37,hexaco_38,hexaco_39,hexaco_40,hexaco_41,hexaco_42,hexaco_43,hexaco_44,hexaco_45,hexaco_46,hexaco_47,hexaco_48,hexaco_49,hexaco_50,hexaco_51,hexaco_52,hexaco_53,hexaco_54,hexaco_55,hexaco_56,hexaco_57,hexaco_58,hexaco_59,hexaco_60,kinsey,dti_1,dti_2,dti_3,dti_4,dti_5,dti_6,dti_7,dti_8,dti_9,dti_10,dti_11,dti_12,dti_13,dti_14,dti_15
55,Parda,Nordeste,Pública,Direito,,9º,Masculino,Homem,Discordo,Concordo,Discordo,Concordo,Discordo fortemente,Concordo fortemente,Concordo fortemente,Concordo,Concordo,Discordo fortemente,Concordo,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo,Concordo,Discordo fortemente,Concordo,Discordo fortemente,Neutro,Neutro,Concordo,Neutro,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo,Discordo,Discordo fortemente,Discordo fortemente,Discordo fortemente,Discordo fortemente,Concordo,Neutro,Neutro,Concordo fortemente,Concordo,Concordo,Neutro,Concordo,Concordo fortemente,Discordo,Concordo,Discordo,Concordo,Discordo,Neutro,Discordo fortemente,Discordo,Concordo,Neutro,Discordo fortemente,Concordo,Concordo fortemente,Discordo fortemente,Neutro,Discordo,Concordo,Discordo fortemente,Discordo fortemente,0 - Exclusivamente heterossexual,4 - Concordo um Pouco,2 - Discordo,3 - Discordo um Pouco,2 - Discordo,4 - Concordo um Pouco,3 - Discordo um Pouco,1 - Discordo Totalmente,4 - Concordo um Pouco,4 - Concordo um Pouco,2 - Discordo,1 - Discordo Totalmente,1 - Discordo Totalmente,1 - Discordo Totalmente,1 - Discordo Totalmente,1 - Discordo Totalmente
23,Parda,Nordeste,Pública,Geografia,,8º,Feminino,Mulher,Discordo fortemente,Concordo fortemente,Neutro,Neutro,Concordo fortemente,Concordo,Neutro,Concordo,Concordo,Concordo,Concordo,Discordo fortemente,Concordo,Discordo fortemente,Neutro,Neutro,Neutro,Discordo,Neutro,Discordo,Discordo,Discordo,Concordo,Discordo,Discordo,Discordo fortemente,Neutro,Concordo,Concordo,Discordo,Concordo,Discordo fortemente,Neutro,Discordo,Discordo,Concordo,Concordo,Concordo,Concordo,Discordo,Concordo,Discordo,Discordo,Neutro,Discordo,Concordo,Concordo fortemente,Neutro,Neutro,Discordo,Neutro,Neutro,Neutro,Concordo,Concordo,Discordo,Neutro,Discordo,Neutro,Discordo fortemente,0 - Exclusivamente heterossexual,5 - Concordo,3 - Discordo um Pouco,3 - Discordo um Pouco,3 - Discordo um Pouco,5 - Concordo,4 - Concordo um Pouco,2 - Discordo,4 - Concordo um Pouco,4 - Concordo um Pouco,4 - Concordo um Pouco,2 - Discordo,2 - Discordo,4 - Concordo um Pouco,4 - Concordo um Pouco,2 - Discordo
21,Branca,Nordeste,Pública,Geografia,,8º,Feminino,Mulher,Discordo,Concordo fortemente,Discordo,Concordo,Concordo fortemente,Discordo,Concordo,Concordo fortemente,Concordo fortemente,Discordo fortemente,Discordo,Neutro,Concordo fortemente,Discordo fortemente,Concordo fortemente,Neutro,Concordo fortemente,Neutro,Neutro,Discordo,Concordo,Concordo,Concordo fortemente,Discordo,Concordo,Discordo fortemente,Discordo,Neutro,Concordo fortemente,Concordo,Neutro,Discordo fortemente,Discordo,Concordo,Discordo fortemente,Neutro,Concordo fortemente,Concordo fortemente,Concordo,Discordo,Discordo fortemente,Concordo fortemente,Concordo,Concordo,Discordo,Concordo,Concordo fortemente,Neutro,Neutro,Concordo,Discordo fortemente,Concordo,Discordo,Discordo,Discordo,Discordo fortemente,Discordo,Concordo fortemente,Discordo fortemente,Discordo fortemente,0 - Exclusivamente heterossexual,5 - Concordo,6 - Concordo Totalmente,6 - Concordo Totalmente,5 - Concordo,5 - Concordo,4 - Concordo um Pouco,4 - Concordo um Pouco,6 - Concordo Totalmente,5 - Concordo,6 - Concordo Totalmente,1 - Discordo Totalmente,1 - Discordo Totalmente,4 - Concordo um Pouco,4 - Concordo um Pouco,2 - Discordo
31,Parda,Nordeste,Pública,Direito,,9º,Masculino,Homem,Discordo fortemente,Concordo,Discordo,Neutro,Neutro,Concordo,Concordo fortemente,Neutro,Concordo fortemente,Discordo fortemente,Concordo,Neutro,Concordo fortemente,Discordo fortemente,Concordo,Concordo,Discordo,Discordo fortemente,Discordo fortemente,Discordo fortemente,Discordo,Discordo,Discordo,Discordo,Concordo,Discordo,Discordo,Concordo,Concordo,Discordo,Discordo,Discordo,Concordo,Discordo,Discordo,Concordo,Concordo,Concordo,Discordo,Discordo,Neutro,Concordo fortemente,Concordo fortemente,Discordo,Neutro,Concordo,Discordo,Concordo,Discordo,Concordo fortemente,Discordo,Concordo,Concordo,Concordo,Discordo fortemente,Discordo,Discordo,Concordo,Concordo,Discordo,"5 - Predominantemente homossexual, mas incidentalmente heterossexual",5 - Concordo,4 - Concordo um Pouco,5 - Concordo,3 - Discordo um Pouco,3 - Discordo um Pouco,6 - Concordo Totalmente,4 - Concordo um Pouco,4 - Concordo um Pouco,3 - Discordo um Pouco,6 - Concordo Totalmente,1 - Discordo Totalmente,1 - Discordo Totalmente,2 - Discordo,1 - Discordo Totalmente,2 - Discordo
20,Parda,Nordeste,Pública,Direito,,2º,Masculino,Homem,Discordo,Concordo fortemente,Concordo fortemente,Concordo,Discordo,Concordo fortemente,Concordo fortemente,Neutro,Concordo,Concordo,Concordo,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo,Discordo,Concordo,Discordo fortemente,Discordo,Discordo,Discordo fortemente,Concordo fortemente,Discordo fortemente,Discordo fortemente,Concordo fortemente,Discordo,Concordo fortemente,Discordo,Discordo,Discordo,Discordo,Discordo,Discordo,Concordo,Discordo,Concordo fortemente,Concordo,Concordo,Concordo,Concordo,Concordo,Neutro,Discordo,Discordo fortemente,Concordo fortemente,Discordo,Concordo,Discordo fortemente,Discordo,Concordo,Concordo fortemente,Discordo fortemente,Concordo fortemente,Concordo fortemente,Discordo,Discordo fortemente,Discordo,Concordo,Concordo,Discordo fortemente,0 - Exclusivamente heterossexual,6 - Concordo Totalmente,6 - Concordo Totalmente,6 - Concordo Totalmente,6 - Concordo Totalmente,6 - Concordo Totalmente,5 - Concordo,6 - Concordo Totalmente,6 - Concordo Totalmente,6 - Concordo Totalmente,6 - Concordo Totalmente,2 - Discordo,2 - Discordo,5 - Concordo,5 - Concordo,2 - Discordo
20,Preta,Nordeste,Pública,Geografia,,2º,Feminino,Mulher,Discordo fortemente,Concordo,Discordo,Neutro,Concordo,Concordo,Neutro,Neutro,Neutro,Neutro,Concordo,Concordo,Concordo,Discordo,Concordo,Neutro,Concordo,Concordo,Discordo,Neutro,Discordo,Discordo,Concordo,Discordo,Concordo fortemente,Concordo,Discordo,Concordo,Neutro,Discordo,Neutro,Concordo,Concordo,Concordo,Neutro,Concordo,Concordo fortemente,Neutro,Concordo,Discordo,Concordo,Neutro,Concordo,Neutro,Concordo,Neutro,Concordo fortemente,Discordo,Discordo fortemente,Neutro,Concordo,Concordo,Discordo,Concordo,Discordo fortemente,Discordo,Neutro,Discordo,Neutro,Concordo,"2 - Predominantemente heterossexual, entretanto, mais que incidentalmente homossexual",5 - Concordo,5 - Concordo,3 - Discordo um Pouco,4 - Concordo um Pouco,4 - Concordo um Pouco,5 - Concordo,4 - Concordo um Pouco,5 - Concordo,2 - Discordo,4 - Concordo um Pouco,3 - Discordo um Pouco,2 - Discordo,4 - Concordo um Pouco,3 - Discordo um Pouco,2 - Discordo
21,Outra (especifique),Nordeste,Pública,Direito,,6º,Feminino,Não-Binário,Discordo fortemente,Concordo,Discordo fortemente,Concordo,Concordo,Discordo,Concordo fortemente,Concordo fortemente,Concordo fortemente,Discordo fortemente,Concordo,Discordo fortemente,Concordo fortemente,Discordo,Neutro,Neutro,Discordo,Discordo fortemente,Discordo fortemente,Discordo fortemente,Discordo,Discordo fortemente,Discordo fortemente,Neutro,Concordo fortemente,Discordo,Discordo fortemente,Discordo,Discordo,Discordo fortemente,Discordo fortemente,Neutro,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo fortemente,Concordo fortemente,Concordo fortemente,Discordo fortemente,Discordo,Concordo fortemente,Concordo fortemente,Neutro,Discordo fortemente,Discordo,Discordo fortemente,Concordo fortemente,Concordo fortemente,Discordo fortemente,Concordo,Discordo fortemente,Discordo fortemente,Concordo,Discordo,Discordo fortemente,Neutro,Concordo,Concordo fortemente,Discordo,Concordo,3 - Igualmente heterossexual e homossexual,4 - Concordo um Pouco,4 - Concordo um Pouco,2 - Discordo,4 - Concordo um Pouco,4 - Concordo um Pouco,4 - Concordo um Pouco,5 - Concordo,5 - Concordo,4 - Concordo um Pouco,5 - Concordo,1 - Discordo Totalmente,2 - Discordo,1 - Discordo Totalmente,1 - Discordo Totalmente,4 - Concordo um Pouco
18,Parda,Sudeste,Pública,Arquitetura,,1º,Feminino,Mulher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Branca,Nordeste,Pública,Direito,,2º,Feminino,Mulher,Discordo fortemente,Concordo fortemente,Neutro,Concordo,Neutro,Discordo,Concordo fortemente,Concordo fortemente,Discordo,Concordo,Concordo,Concordo fortemente,Concordo,Discordo fortemente,Discordo,Discordo,Concordo fortemente,Discordo,Discordo fortemente,Discordo,Discordo fortemente,Concordo,Concordo,Discordo fortemente,Concordo,Discordo fortemente,Discordo,Neutro,Concordo,Discordo,Concordo,Discordo fortemente,Concordo,Neutro,Discordo fortemente,Concordo,Neutro,Concordo,Concordo fortemente,Discordo,Discordo fortemente,Neutro,Concordo fortemente,Discordo,Concordo,Discordo,Concordo fortemente,Discordo,Neutro,Neutro,Discordo,Concordo,Discordo,Neutro,Discordo fortemente,Discordo fortemente,Neutro,Discordo fortemente,Discordo fortemente,Concordo fortemente,3 - Igualmente heterossexual e homossexual,4 - Concordo um Pouco,4 - Concordo um Pouco,2 - Discordo,3 - Discordo um Pouco,4 - Concordo um Pouco,4 - Concordo um Pouco,4 - Concordo um Pouco,4 - Concordo um Pouco,2 - Discordo,5 - Concordo,1 - Discordo Totalmente,1 - Discordo Totalmente,1 - Discordo Totalmente,1 - Discordo Totalmente,1 - Discordo Totalmente
30,Preta,Sudeste,Privada,Outro,Teologia,2º,Masculino,Homem,Discordo,Concordo fortemente,Discordo,Discordo,Discordo,Concordo fortemente,Concordo,Concordo,Concordo fortemente,Discordo fortemente,Concordo fortemente,Discordo fortemente,Concordo,Discordo fortemente,Concordo,Discordo,Concordo,Discordo,Concordo,Discordo fortemente,Discordo fortemente,Discordo fortemente,Concordo,Concordo,Concordo,Discordo,Concordo,Concordo,Concordo fortemente,Discordo fortemente,Discordo,Discordo,Concordo,Discordo fortemente,Discordo fortemente,Concordo fortemente,Discordo,Concordo,Discordo,Discordo fortemente,Discordo,Concordo fortemente,Concordo,Discordo fortemente,Discordo,Concordo,Concordo fortemente,Concordo,Neutro,Concordo fortemente,Discordo,Discordo,Neutro,Concordo,Neutro,Discordo,Concordo,Concordo,Neutro,Discordo,"4 - Predominantemente homossexual, entretanto, mais que incidentalmente heterossexual",6 - Concordo Totalmente,6 - Concordo Totalmente,5 - Concordo,5 - Concordo,5 - Concordo,4 - Concordo um Pouco,5 - Concordo,6 - Concordo Totalmente,6 - Concordo Totalmente,5 - Concordo,1 - Discordo Totalmente,1 - Discordo Totalmente,3 - Discordo um Pouco,3 - Discordo um Pouco,1 - Discordo Totalmente
